Parent;Id;Sex;Birth date;Sire;Dam;Birth place;Location;Avg time between calves (years);Age on first calf (years);Offspring Count
;862;m;1986-07-06;420;277;SD-WAP;SD-WAP;0;;
;925;f;1988-01-26;420;277;SD-WAP;SD-WAP;0;;
Dam;106;f;1955-01-01;wild;wild;UMFOLOZI;WHIPSNADE;2,2;16,5;8
;130;m;1971-06-23;wild;106;WHIPSNADE;WHIPSNADE;0;;
;1189;m;1974-12-08;70;106;WHIPSNADE;WHIPSNADE;0;;
;328;f;1976-09-24;89;106;WHIPSNADE;WHIPSNADE;0;;
;485;m;1978-10-15;unk;106;WHIPSNADE;WHIPSNADE;0;;
;600;m;1980-09-21;70;106;WHIPSNADE;WHIPSNADE;0;;
;708;m;1982-10-25;70;106;WHIPSNADE;WHIPSNADE;0;;
;810;m;1985-01-09;70;106;WHIPSNADE;WHIPSNADE;0;;
;846;f;1986-08-01;89;106;WHIPSNADE;WHIPSNADE;0;;
Dam;620;f;1966-01-01;wild;wild;UMFOLOZI;UMFOLOZI;2,1;13,9;2
;588;m;1979-12-01;618;620;KNOXVILLE;KNOXVILLE;0;;
;676;m;1981-12-31;618;620;KNOXVILLE;SALZBURG;0;;
Dam;141;f;1965-01-01;wild;wild;NATAL;COPENHAGE;2,4;10,0;3
;232;m;1974-12-14;93;141;COPENHAGE;BANDHOLM;0;;
;571;m;1978-01-16;93;141;COPENHAGE;GIVSKUD;0;;
;1126;?;1979-10-18;93;141;COPENHAGE;COPENHAGE;0;;
Dam;494;f;1969-01-01;wild;wild;UMFOLOZI;UMFOLOZI;2,3;9,9;13
;493;m;1978-11-13;193;494;HODENHAGN;HODENHAGN;0;;
;779;h;1983-08-13;491;494;HODENHAGN;HODENHAGN;0;;
;836;f;1985-08-08;491;494;HODENHAGN;HODENHAGN;0;;
;905;m;1987-11-29;491;494;HODENHAGN;HODENHAGN;0;;
;944;m;1989-09-10;491;494;HODENHAGN;HODENHAGN;0;;
;969;m;1991-08-13;491;494;HODENHAGN;HODENHAGN;0;;
;1004;m;1993-09-13;491;494;HODENHAGN;HODENHAGN;0;;
;1147;m;1995-07-22;491;494;HODENHAGN;HODENHAGN;0;;
;1157;f;1996-12-23;491;494;HODENHAGN;HODENHAGN;0;;
;1220;f;1998-09-26;491;494;HODENHAGN;HODENHAGN;0;;
;1447;f;2002-12-31;491;494;HODENHAGN;OSNABRUCK;0;;
;1577;m;2004-11-17;491;494;HODENHAGN;HODENHAGN;0;;
;1595;m;2006-08-30;491;494;HODENHAGN;HODENHAGN;0;;
Dam;159;f;1963-01-01;wild;wild;UMFOLOZI;UMFOLOZI;5,5;14,7;3
;534;m;1977-09-02;52;159;SD-WAP;VESZPREM;0;;
;864;m;1986-09-23;420;159;SD-WAP;SIGEAN;0;;
;929;f;1988-08-04;420;159;SD-WAP;SIGEAN;0;;
Dam;291;f;1970-01-01;wild;wild;HLUHLUWE;THOIRY;0;11,0;1
;715;m;1981-01-11;76;291;ANTWERP;ANTWERP;0;;
Dam;181;f;1966-01-01;wild;wild;UMFOLOZI;UMFOLOZI;0;14,1;1
;583;f;1980-01-26;180;181;SAN ANTON;SCHWERIN;0;;
Dam;240;f;1971-01-01;wild;wild;UMFOLOZI;RAMAT GAN;0;7,7;1
;487;m;1978-09-28;244;240;RAMAT GAN;JERUSALEM;0;;
Dam;156;f;1963-01-01;wild;wild;UMFOLOZI;UMFOLOZI;0;29,8;1
;991;f;1992-10-03;187;156;SD-WAP;BERLIN TP;0;;
Dam;97;f;1969-02-01;wild;wild;UMFOLOZI;EDINBURGH;2,4;5,7;12
;1188;f;1974-10-07;70;97;WHIPSNADE;WHIPSNADE;0;;
;393;m;1976-10-27;70;97;EDINBURGH;EDINBURGH;0;;
;749;m;1982-09-03;139;97;EDINBURGH;EDINBURGH;0;;
;855;f;1985-03-10;139;97;EDINBURGH;EDINBURGH;0;;
;856;f;1986-09-12;139;97;EDINBURGH;MARWELL;0;;
;937;f;1988-09-02;139;97;EDINBURGH;WHIPSNADE;0;;
;962;f;1990-09-24;139;97;EDINBURGH;WHIPSNADE;0;;
;989;f;1992-08-25;139;97;EDINBURGH;LISIEUX Z;0;;
;1026;f;1994-07-01;139;97;EDINBURGH;KNOWSLEY;0;;
;1143;f;1996-09-02;139;97;EDINBURGH;EDINBURGH;0;;
;1212;m;1998-07-14;139;97;EDINBURGH;GIVSKUD;0;;
;1352;m;2000-10-20;139;97;EDINBURGH;WOBURNLTD;0;;
Dam;1570;f;2002-01-01;wild;wild;THABA MAN;LISBON;0;8,9;1
;2059;m;2010-12-07;1013;1570;LISBON;LISBON;0;;
Dam;182;f;1969-01-01;wild;wild;UMFOLOZI;UMFOLOZI;6,1;10,4;2
;549;m;1979-05-22;180;182;SAN ANTON;MOSCOW;0;;
;831;f;1985-07-09;180;182;SAN ANTON;SAN ANTON;0;;
Dam;242;f;1971-01-01;wild;wild;UMFOLOZI;RAMAT GAN;2,1;8,7;6
;399;m;1979-09-12;unk;242;RAMAT GAN;RAMAT GAN;0;;
;641;f;1981-02-27;MULT;242;RAMAT GAN;RAMAT GAN;0;;
;786;m;1984-02-07;unk;242;RAMAT GAN;RAMAT GAN;0;;
;837;m;1985-11-14;unk;242;RAMAT GAN;RAMAT GAN;0;;
;919;f;1988-07-13;unk;242;RAMAT GAN;RAMAT GAN;0;;
;949;f;1990-05-07;MULT;242;RAMAT GAN;RAMAT GAN;0;;
Dam;254;f;1967-01-01;wild;wild;UMFOLOZI;PELISSANE;0;6,5;1
;227;f;1973-06-29;wild;254;BLACKPOOL;BLACKPOOL;0;;
Dam;96;f;1969-02-01;wild;wild;UMFOLOZI;KAUNAS;0;5,7;1
;279;m;1974-10-15;94;96;WHIPSNADE;LIBEREC;0;;
Dam;102;f;1967-01-01;wild;wild;UMFOLOZI;WHIPSNADE;2,3;10,0;7
;1190;f;1976-12-22;70;102;WHIPSNADE;WHIPSNADE;0;;
;489;f;1978-06-30;70;102;WHIPSNADE;WHIPSNADE;0;;
;614;f;1980-11-06;70;102;WHIPSNADE;WHIPSNADE;0;;
;770;m;1983-03-02;70;102;WHIPSNADE;LA PALMYR;0;;
;833;m;1985-10-21;89;102;WHIPSNADE;JERUSALEM;0;;
;907;f;1987-12-25;89;102;WHIPSNADE;ARNHEM;0;;
;973;f;1990-12-18;89;102;WHIPSNADE;WHIPSNADE;0;;
Dam;103;f;1965-01-01;wild;wild;UMFOLOZI;SOFIAZOO;2,3;8,1;7
;214;m;1973-01-21;70;103;WHIPSNADE;WHIPSNADE;0;;
;226;f;1974-10-07;94;103;WHIPSNADE;TOUROPARC;0;;
;472;f;1977-12-27;70;103;WHIPSNADE;WHIPSNADE;0;;
;532;m;1979-12-19;70;103;WHIPSNADE;ARNHEM;0;;
;665;f;1981-11-23;70;103;WHIPSNADE;WHIPSNADE;0;;
;800;m;1984-09-23;89;103;WHIPSNADE;SOFIAZOO;0;;
;859;f;1986-09-23;89;103;SOFIAZOO;DUBLIN;0;;
Dam;1198;f;1971-01-01;wild;wild;S. AFRICAR;S. AFRICAR;2,9;23,0;2
;1200;m;1993-12-15;1197;1198;SAFARI MA;SAFARI MA;0;;
;1201;m;1996-11-12;1197;1198;SAFARI MA;SAFARI MA;0;;
Dam;104;f;1965-01-01;wild;wild;UMFOLOZI;DUBLIN;4,1;8,2;6
;217;m;1973-03-05;70;104;WHIPSNADE;WHIPSNADE;0;;
;329;f;1976-10-07;70;104;WHIPSNADE;WHIPSNADE;0;;
;504;f;1979-09-26;89;104;WHIPSNADE;KESSINGLA;0;;
;761;m;1982-12-03;70;104;WHIPSNADE;WHIPSNADE;0;;
;869;m;1986-10-28;89;104;WHIPSNADE;WHIPSNADE;0;;
;1005;f;1993-08-25;330;104;DUBLIN;DUBLIN;0;;
Dam;157;f;1963-01-01;wild;wild;UMFOLOZI;UMFOLOZI;4,8;10,1;5
;218;m;1973-02-03;52;157;SD-WAP;SD-WAP;0;;
;648;f;1980-11-11;52;157;SD-WAP;SD-WAP;0;;
;843;m;1985-08-20;420;157;SD-WAP;SD-WAP;0;;
;908;m;1987-01-29;420;157;SD-WAP;SD-WAP;0;;
;990;m;1992-05-15;187;157;SD-WAP;EMMEN;0;;
Dam;351;f;1965-01-01;wild;wild;UGANDA;DVURKRALV;3,4;12,9;5
;476;f;1977-11-11;355;351;DVURKRALV;DVURKRALV;0;;
;630;m;1980-06-08;373;351;DVURKRALV;DVURKRALV;0;;
;789;f;1983-11-15;372;351;DVURKRALV;DVURKRALV;0;;
;943;f;1989-07-11;372;351;DVURKRALV;DVURKRALV;0;;
;1122;f;1991-07-18;372;351;DVURKRALV;DVURKRALV;0;;
Dam;211;f;1970-05-31;wild;wild;UMFOLOZI;KATOWICE;3,1;6,2;9
;911;m;1976-08-15;111;211;DVURKRALV;DVURKRALV;0;;
;530;f;1978-04-04;111;211;DVURKRALV;VESZPREM;0;;
;684;m;1981-04-13;111;211;KATOWICE;GDANSK;0;;
;844;m;1985-03-13;200;211;KATOWICE;KATOWICE;0;;
;888;m;1986-09-03;200;211;KATOWICE;PLAISANCE;0;;
;1023;f;1994-01-08;200;211;KATOWICE;KATOWICE;0;;
;1210;f;1997-02-02;200;211;KATOWICE;KATOWICE;0;;
;1211;f;1998-08-21;200;211;KATOWICE;KATOWICE;0;;
;1413;f;2001-10-16;200;211;KATOWICE;KATOWICE;0;;
Dam;1254;f;1978-01-01;wild;wild;S. AFRICAR;S. AFRICAR;0;19,5;1
;1208;f;1997-07-01;1253;1254;SABLE RAN;ERFURT;0;;
Dam;119;f;1960-01-01;wild;wild;UMFOLOZI;PONTSCORF;7,8;19,6;3
;578;m;1979-07-28;116;119;LONGLEAT;THOIRY;0;;
;653;f;1981-09-28;117;119;LONGLEAT;SCHWERIN;0;;
;1245;f;1995-02-11;116;119;PONTSCORF;PONTSCORF;0;;
Dam;225;f;1970-01-01;wild;wild;UMFOLOZI;HILVARENB;2,8;6,5;12
;316;m;1976-07-07;221;225;HILVARENB;OSNABRUCK;0;;
;486;m;1978-09-24;221;225;HILVARENB;HILVARENB;0;;
;628;m;1980-12-28;221;225;HILVARENB;HILVARENB;0;;
;767;f;1982-12-25;221;225;HILVARENB;LA PALMYR;0;;
;834;m;1985-08-11;221;225;HILVARENB;HILVARENB;0;;
;938;f;1988-10-17;221;225;HILVARENB;HILVARENB;0;;
;1048;m;1994-09-08;221;225;HILVARENB;BEAUVAL;0;;
;1203;f;1998-08-27;76;225;HILVARENB;HILVARENB;0;;
;1350;f;2000-12-17;76;225;HILVARENB;HILVARENB;0;;
;1467;f;2003-02-07;76;225;HILVARENB;HILVARENB;0;;
;1490;m;2004-08-27;76;225;HILVARENB;SCHMIDING;0;;
;1603;m;2006-11-02;1165;225;HILVARENB;KERKRADE;0;;
Dam;1488;f;1970-01-01;wild;wild;;;0;21,9;1
;1486;m;1991-12-01;1487;1488;RIOLEORES;BIOPARCVA;0;;
Dam;1307;f;1998-02-01;wild;wild;S. AFRICAR;BEAUVAL;1,9;10,0;3
;1634;m;2008-01-17;1048;1307;BEAUVAL;BEAUVAL;0;;
;2037;m;2009-11-12;1048;1307;BEAUVAL; BEAUVAL;0;;
;2068;m;2011-10-16;1048;1307;BEAUVAL;BEAUVAL;0;;
Dam;99;f;1968-01-01;wild;wild;UMFOLOZI;UMFOLOZI;0;6,8;1
;278;m;1974-10-09;70;99;WHIPSNADE;WHIPSNADE;0;;
Dam;1121;f;1990-01-01;wild;wild;NATAL SA;KNOWSLEY;3,3;11,1;4
;1388;m;2001-01-22;829;1121;KNOWSLEY;KNOWSLEY;0;;
;1597;f;2006-09-19;829;1121;KNOWSLEY;KNOWSLEY;0;;
;1690;f;2008-10-07;829;1121;KNOWSLEY;LISIEUX Z;0;;
;2040;f;2010-12-30;829;1121;KNOWSLEY;KNOWSLEY;0;;
Dam;105;f;1965-01-01;wild;wild;UMFOLOZI;WHIPSNADE;2,7;11,8;4
;330;m;1976-10-10;70;105;WHIPSNADE;DUBLIN;0;;
;490;m;1979-04-29;89;105;WHIPSNADE;WHIPSNADE;0;;
;654;f;1981-10-12;70;105;WHIPSNADE;WHIPSNADE;0;;
;803;m;1984-12-03;70;105;WHIPSNADE;SO LAKES;0;;
Dam;241;f;1971-01-01;wild;wild;UMFOLOZI;RAMAT GAN;1,9;8,6;7
;497;m;1979-07-26;MULT;241;RAMAT GAN;RAMAT GAN;0;;
;640;m;1981-04-05;unk;241;RAMAT GAN;RAMAT GAN;0;;
;766;m;1982-11-21;unk;241;RAMAT GAN;RAMAT GAN;0;;
;799;m;1984-08-07;unk;241;RAMAT GAN;RAMAT GAN;0;;
;913;m;1987-10-17;MULT;241;RAMAT GAN;RAMAT GAN;0;;
;946;m;1989-07-27;unk;241;RAMAT GAN;RAMAT GAN;0;;
;1049;m;1991-01-26;MULT;241;RAMAT GAN;BUDAPEST;0;;
Dam;59;f;1962-01-01;wild;wild;UMFOLOZI;UMFOLOZI;0;7,8;1
;76;m;1969-10-23;57;59;PRETORIA;HILVARENB;0;;
Dam;1999;f;1999-06-01;wild;wild;WEENEN;SALZBURG;0;7,6;1
;2001;f;2007-01-01;wild;1999;wWEENEN;PEAUGRES;0;;
Dam;403;f;1969-10-01;wild;wild;UMFOLOZI;DORTMUND;2,3;7,7;6
;404;m;1977-06-13;319;403;MUNSTER;CABARCENO;0;;
;509;m;1979-09-23;340;403;MUNSTER;MUNSTER;0;;
;669;m;1981-12-08;340;403;MUNSTER;BRATISLAV;0;;
;812;f;1985-01-05;340;403;MUNSTER;GIVSKUD;0;;
;854;f;1986-12-23;340;403;MUNSTER;MUNSTER;0;;
;1178;f;1988-10-10;340;403;MUNSTER;MUNSTER;0;;
Dam;1120;f;1990-01-01;wild;wild;NATAL SA;KNOWSLEY;2,8;9,7;5
;1317;m;1999-09-19;829;1120;KNOWSLEY;KNOWSLEY;0;;
;1438;m;2001-09-20;829;1120;KNOWSLEY;PEAUGRES;0;;
;1584;f;2005-11-17;829;1120;KNOWSLEY;KNOWSLEY;0;;
;1652;m;2008-12-04;829;1120;KNOWSLEY;LILLE ZO;0;;
;2039;m;2010-11-30;829;1120;KNOWSLEY;KNOWSLEY;0;;
Dam;1012;f;1984-01-01;wild;wild;HLUHLUWE;KOLMARDEN;1,9;11,1;2
;1184;m;1995-02-11;11;1012;KOLMARDEN;KOLMARDEN;0;;
;1170;m;1997-01-15;11;1012;KOLMARDEN;KOLMARDEN;0;;
Dam;259;f;1967-01-01;wild;wild;UMFOLOZI;WINDSOR;0;10,6;1
;1234;?;1977-08-10;257;259;WINDSOR;WINDSOR;0;;
Dam;140;f;1965-01-01;wild;wild;UMFOLOZI;COPENHAGE;2,5;9,9;4
;231;f;1974-12-04;93;140;COPENHAGE;BANDHOLM;0;;
;382;m;1976-12-21;93;140;COPENHAGE;GIVSKUD;0;;
;572;m;1979-01-17;93;140;COPENHAGE;COPENHAGE;0;;
;1127;?;1982-04-15;93;140;COPENHAGE;COPENHAGE;0;;
Dam;495;f;1970-01-01;wild;wild;UMFOLOZI;UMFOLOZI;0;11,4;1
;645;m;1981-05-26;193;495;GENK;GENK;0;;
Dam;60;f;1958-01-01;wild;wild;UMFOLOZI;UMFOLOZI;0;12,4;1
;79;m;1970-05-27;57;60;PRETORIA;PRETORIA;0;;
Dam;496;f;1969-01-01;wild;wild;UMFOLOZI;UMFOLOZI;1,9;11,5;14
;581;m;1980-06-12;492;496;HODENHAGN;HODENHAGN;0;;
;709;m;1982-08-26;491;496;HODENHAGN;HODENHAGN;0;;
;797;f;1984-08-24;491;496;HODENHAGN;HODENHAGN;0;;
;866;f;1986-09-17;491;496;HODENHAGN;HODENHAGN;0;;
;915;f;1988-08-30;491;496;HODENHAGN;HODENHAGN;0;;
;951;m;1990-03-09;491;496;HODENHAGN;HODENHAGN;0;;
;987;m;1992-07-25;491;496;HODENHAGN;CABARCENO;0;;
;1043;f;1994-11-01;491;496;HODENHAGN;HODENHAGN;0;;
;1125;f;1996-10-16;491;496;HODENHAGN;KESSINGLA;0;;
;1221;m;1998-11-05;491;496;HODENHAGN;TABERNAS;0;;
;1336;m;2000-08-29;491;496;HODENHAGN;HODENHAGN;0;;
;1337;f;2000-12-18;491;496;HODENHAGN;HODENHAGN;0;;
;1446;m;2002-10-20;491;496;HODENHAGN;NYIREGYHA;0;;
;1578;f;2005-01-07;491;496;HODENHAGN;OSNABRUCK;0;;
Dam;416;f;1971-01-01;wild;wild;UMFOLOZI;UMFOLOZI;0;9,7;1
;590;f;1980-09-05;413;416;KINGS ISL;KINGS ISL;0;;
Dam;1478;f;1991-01-01;wild;wild;UMFOLOZI;KOLMARDEN;4,2;10,5;3
;1479;f;2001-07-01;wild;1478;UMFOLOZI;KOLMARDEN;0;;
;1480;f;2004-01-01;wild;1478;KOLMARDEN;KOLMARDEN;0;;
;2016;f;2009-11-25;1183;1478;KOLMARDEN;KOLMARDEN;0;;
Dam;1175;f;1992-01-01;wild;wild;HLUHLUWE;WHIPSNADE;4,4;9,3;2
;1349;m;2001-05-01;1060;1175;BEWDLEY;BEWDLEY;0;;
;1583;m;2005-09-21;1060;1175;BEWDLEY;BEWDLEY;0;;
Dam;1555;f;2001-12-01;wild;wild;UMFOLOZI;DUBLIN;2,5;6,5;2
;1644;f;2008-05-28;1552;1555;DUBLIN;DUBLIN;0;;
;2007;m;2010-12-10;1552;1555;DUBLIN;DUBLIN;0;;
