Stud#;sex;Birth date ;sire;dam;birth place;current location;Date of death;Age/years;Cause of death;location 2;date;location 3;date;location 4;date;location 5;date;location 6;date;location 7;date;;;;;;;;;
28;f;01.01.1954;wild;wild;SUDAN;;15.03.1979;25,21643836;;SUDAN;01.01.1954;SEAGO;30.07.1956;NZP-WASH;04.09.1956;SD-WAP;22.04.1972;;;;;;;;;;;;;
40;m;01.01.1961;wild;wild;S. AFRICA;;01.02.1990;29,10410959;;S. AFRICA;01.01.1961;L RUHE;01.08.1964;ZEEHANDLR;01.08.1964;MEMPHIS;15.09.1964;;;;;;;;;;;;;
52;m;01.01.1959;wild;wild;UMFOLOZI;;01.03.1984;25,18082192;;UMFOLOZI;08.06.1959;NATAL PB;10.06.1962;OKAHANDJA;20.07.1962;SANDIEGOZ;08.09.1962;SD-WAP;11.05.1971;KINGS ISL;26.10.1983;GRND PRAI;27.10.1983;;;;;;;
54;m;01.01.1963;wild;wild;SUDAN;;01.01.1985;22,01643836;;SUDAN;01.04.1963;KHARTOUM;01.04.1964;RIYAHD;01.01.1965;;;;;;;;;;;;;;;
55;f;01.01.1963;wild;wild;SUDAN;;01.01.1985;22,01643836;;SUDAN;01.04.1963;KHARTOUM;01.04.1964;RIYAHD;01.01.1965;;;;;;;;;;;;;;;
57;m;01.01.1958;wild;wild;UMFOLOZI;;09.05.1982;24,36712329;;UMFOLOZI;01.01.1958;NATAL PB;01.01.1966;PRETORIA;17.04.1966;;;;;;;;;;;;;;;
59;f;01.01.1962;wild;wild;UMFOLOZI;;14.06.1971;9,454794521;;UMFOLOZI;01.01.1962;NATAL PB;01.01.1966;PRETORIA;24.04.1966;;;;;;;;;;;;;;;
60;f;01.01.1958;wild;wild;UMFOLOZI;;10.10.1986;28,79178082;;UMFOLOZI;01.01.1959;NATAL PB;01.01.1966;PRETORIA;17.04.1966;SHENANDOA;14.10.1983;;;;;;;;;;;;;
70;m;01.01.1964;wild;wild;UMFOLOZI;KAUNAS;25.01.1996;32,08767123;infection;UMFOLOZI;01.05.1965;NATAL PB;01.01.1967;WHIPSNADE;23.06.1967;SOEST;01.06.1985;ZOO OBJED;06.10.1985;KAUNAS;06.10.1985;;;;;;;;;
71;f;01.01.1965;wild;wild;UMFOLOZI;BURFORD;23.05.2007;42,41643836;Anesth/restraint;UMFOLOZI;23.06.1966;WHIPSNADE;23.06.1967;DUBLIN;10.12.1976;WHIPSNADE;13.11.1977;BURFORD;14.11.1977;;;;;;;;;;;
74;m;Jun 52;wild;wild;SUDAN;;28.01.1991;38,68493151;;SUDAN;01.01.1952;L RUHE;25.07.1957;ST LOUIS;28.07.1957;SD-WAP;07.08.1972;SANDIEGOZ;29.01.1982;SD-WAP;26.10.1982;;;;;;;;;
75;f;Jun 52;wild;wild;SUDAN;;15.08.1974;22,21917808;;SUDAN;01.01.1953;L RUHE;25.07.1957;ST LOUIS;28.07.1957;SD-WAP;15.08.1974;;;;;;;;;;;;;
76;m;23.10.1969;57;59;PRETORIA;HILVARENB;01.08.2003;33,79452055;stranded, digestive circulatory;PRETORIA;23.10.1969;PLANCKNDL;12.08.1974;ANTWERP;24.11.1978;HILVARENB;29.11.1995;;;;;;;;;;;;;
77;m;01.04.1966;wild;wild;UMFOLOZI;DUISBURG;31.12.2011;45,78082192;;UMFOLOZI;01.01.1967;DELFTS;01.03.1968;DUISBURG;24.04.1968;;;;;;;;;;;;;;;
78;f;01.04.1966;wild;wild;UMFOLOZI;DUISBURG;31.12.2011;45,78082192;;UMFOLOZI;01.01.1967;DELFTS;01.03.1968;DUISBURG;24.04.1968;;;;;;;;;;;;;;;
79;m;27.05.1970;57;60;PRETORIA;;30.01.1986;15,69041096;;PRETORIA;27.05.1970;PLANCKNDL;12.08.1974;BOGOR;18.01.1986;;;;;;;;;;;;;;;
84;m;01.01.1968;wild;wild;UMFOLOZI;BARCELONA;15.10.2009;41,81643836;unk;UMFOLOZI;01.01.1969;SOEST;01.06.1970;BARCELONA;11.06.1970;;;;;;;;;;;;;;;
85;f;01.01.1968;wild;wild;UMFOLOZI;BARCELONA;29.09.2006;38,76986301;unk;UMFOLOZI;01.01.1968;SOEST;01.06.1970;BARCELONA;11.06.1970;;;;;;;;;;;;;;;
86;m;01.01.1964;wild;wild;UMFOLOZI;SIGEAN;14.08.1998;34,64109589;unk;UMFOLOZI;01.01.1965;L RUHE;01.03.1968;THOIRY;04.08.1968;SIGEAN;01.04.1974;;;;;;;;;;;;;
87;f;01.01.1964;wild;wild;UMFOLOZI;SIGEAN;19.02.2010;46,16712329;old age;UMFOLOZI;01.01.1965;L RUHE;01.03.1968;THOIRY;04.08.1986;SIGEAN;01.04.1974;;;;;;;;;;;;;
88;m;Feb 69;wild;wild;UMFOLOZI;COLCHESTR;09.04.2009;40,2109589;euthanasia;UMFOLOZI;01.02.1969;NATAL PB;01.03.1970;WHIPSNADE;05.08.1970;CHOLCHESTER;03.03.1974;;;;;;;;;;;;;
89;m;01.01.1968;wild;wild;UMFOLOZI;LONGLEAT;27.08.2003;35,67671233;unk;UMFOLOZI;01.08.1968;NATAL PB;01.08.1970;WHIPSNADE;05.08.1970;LONGLEAT;08.11.1995;;;;;;;;;;;;;
90;m;Aug 68;wild;wild;UMFOLOZI;COULANGE;12.01.2006;37,4739726;euthanasia, musculoskeletal;UMFOLOZI;01.08.1968;WHIPSNADE;05.08.1970;GLASGOW;25.06.1975;COULANGE;26.03.2003;;;;;;;;;;;;;
91;m;01.08.1968;wild;wild;UMFOLOZI;THOIRY;22.12.2004;36,41643836;euthanasia;UMFOLOZI;01.01.1968;NATAL PB;01.03.1970;WHIPSNADE;05.08.1970;GLASGOW;25.06.1975;;;;;;;;;;;;;
92;m;Jul 62;wild;wild;UMFOLOZI;KYIV;23.02.1993;30,67123288;Injury from exhibit mate;UMFOLOZI;01.08.1962;NATAL PB;01.03.1970;WHIPSNADE;05.08.1970;KYIV ZOO;04.06.1975;;;;;;;;;;;;;
93;m;01.01.1962;wild;wild;UMFOLOZI;COPENHAGE;27.08.2008;46,68493151;unk;UMFOLOZI;01.01.1962;NATAL PB;01.03.1970;WHIPSNADE;05.08.1970;COPENHAGE;21.06.1972;;;;;;;;;;;;;
94;m;01.01.1960;wild;wild;UMFOLOZI;WHIPSNADE;17.01.1975;15,05479452;old age, cardiovascular circulatory;UMFOLOZI;01.08.1960;NATAL PB;01.03.1970;WHIPSNADE;05.08.1970;;;;;;;;;;;;;;;
95;f;Feb 69;wild;wild;MALAWI;ROTTERDAM;15.04.1982;13,20821918;unk;MALAWI;01.01.1969;NATAL PB;01.03.1970;WHIPSNADE;05.08.1970;ROTTERDAM;22.04.1976;;;;;;;;;;;;;
96;f;Feb 69;wild;wild;UMFOLOZI;KAUNAS;26.06.2004;35,42191781;infection;UMFOLOZI;01.02.1969;NATAL PB;01.03.1970;WHIPSNADE;05.08.1970;SOEST;01.06.1985;KAUNAS;06.10.1985;;;;;;;;;;;
97;f;Feb 69;wild;wild;UMFOLOZI;EDINBURGH;14.09.2005;36,64109589;euthanasia;UMFOLOZI;01.02.1969;NATAL PB;01.03.1970;WHIPSNADE;05.08.1970;EDINBURGH;10.05.1976;OWNERSHIP;01.01.2000;;;;;;;;;;;
98;f;Feb 69;wild;wild;UMFOLOZI;WHIPSNADE;17.01.1975;5,961643836;Anesth/Restraint, circulatory;UMFOLOZI;01.02.1969;NATAL PB;01.03.1970;WHIPSNADE;05.08.1970;;;;;;;;;;;;;;;
99;f;01.01.1968;wild;wild;UMFOLOZI;;31.12.2011;44,02739726;;UMFOLOZI;01.01.1970;NATAL PB;01.03.1970;WHIPSNADE;05.08.1970;MONTEVIDE;03.06.1985;;;;;;;;;;;;;
100;f;01.01.1968;wild;wild;UMFOLOZI;WHIPSNADE;11.10.1978;10,78356164;unk;UMFOLOZI;01.08.1968;NATAL PB;01.03.1970;WHIPSNADE;05.08.1970;;;;;;;;;;;;;;;
101;f;01.01.1968;wild;wild;UMFOLOZI;WHIPSNADE;10.12.1973;5,945205479;infection, circulatory;UMFOLOZI;01.08.1968;WHIPSNADE;05.08.1970;;;;;;;;;;;;;;;;;
102;f;01.01.1967;wild;wild;UMFOLOZI;WHIPSNADE;05.08.1970;3,594520548;unk;UMFOLOZI;01.08.1968;NATAL PB;01.01.1969;WHIPSNADE;05.08.1970;;;;;;;;;;;;;;;
103;f;01.01.1965;wild;wild;UMFOLOZI;SOFIAZOO;28.10.2002;37,84657534;old age;UMFOLOZI;01.01.1970;NATAL PB;01.03.1970;WHIPSNADE;05.08.1970;RUSHDEN;12.04.1986;SOFIAZOO;13.02.1986;;;;;;;;;;;
104;f;01.01.1965;wild;wild;UMFOLOZI;DUBLIN;12.07.1995;30,54520548;euthanasia;UMFOLOZI;01.08.1965;NATAL PB;01.01.1969;WHIPSNADE;05.08.1970;DUBLIN;08.07.1988;;;;;;;;;;;;;
105;f;01.01.1965;wild;wild;UMFOLOZI;WHIPSNADE;14.01.2009;44,06575342;euthanasia;UMFOLOZI;01.08.1966;NATAL PB;01.01.1969;WHIPSNADE;05.08.1970;;;;;;;;;;;;;;;
106;f;01.01.1955;wild;wild;UMFOLOZI;WHIPSNADE;15.12.1986;31,97534247;euthanasia;UMFOLOZI;01.01.1970;NATAL PB;01.03.1970;WHIPSNADE;05.08.1970;;;;;;;;;;;;;;;
107;f;01.01.1960;wild;wild;UMFOLOZI;WHIPSNADE;04.01.1976;16,01917808;unk;UMFOLOZI;01.08.1961;NATAL PB;01.03.1970;WHIPSNADE;05.08.1970;;;;;;;;;;;;;;;
108;m;01.01.1967;wild;wild;UMFOLOZI;;31.12.2011;45,02739726;;UMFOLOZI;01.06.1968;LISBON;31.12.1969;DEALER;05.06.1998;;;;;;;;;;;;;;;
109;f;01.01.1965;wild;wild;UMFOLOZI;LISBON;26.04.2008;43,34520548;unk;UMFOLOZI;01.01.1967;LISBON;31.12.1969;;;;;;;;;;;;;;;;;
110;m;01.01.1964;wild;wild;UMFOLOZI;LESNA-GOT;30.09.2003;39,77260274;anesth/restraint;UMFOLOZI;01.01.1964;DVURKRALV;02.06.1970;LESNA-GOT;12.07.1979;;;;;;;;;;;;;;;
111;m;01.01.1966;wild;wild;UMFOLOZI;USTI;28.04.2008;42,35068493;old age;UMFOLOZI;01.10.1966;SOEST;09.07.1970;DVURKRALV;15.10.1970;USTI;04.12.1980;;;;;;;;;;;;;
112;f;01.01.1966;wild;wild;UMFOLOZI;LESNA-GOT;19.10.2005;39,82465753;unk;UMFOLOZI;01.01.1966;SOEST;01.01.1970;DVURKRALV;02.06.1970;LESNA-GOT;17.07.1979;;;;;;;;;;;;;
113;f;01.01.1966;wild;wild;UMFOLOZI;;31.12.2011;46,02739726;;UMFOLOZI;01.01.1966;SOEST;01.01.1970;DVURKRALV;23.07.1970;LIBEREC;03.07.1976;CAIRO ZOO;12.09.1983;;;;;;;;;;;
114;f;01.01.1967;wild;wild;UMFOLOZI;USTI;21.03.2008;41,24657534;Euthanasia;UMFOLOZI;01.01.1967;SOEST;01.01.1970;DVURKRALV;23.06.1970;USTI;19.11.1980;;;;;;;;;;;;;
115;f;01.01.1967;wild;wild;UMFOLOZI;;08.11.1981;14,8630137;;UMFOLOZI;01.01.1967;SOEST;09.07.1970;DVURKRALV;15.10.1970;L RUHE;28.04.1979;AL AIN;24.05.1979;;;;;;;;;;;
116;m;09.11.1968;wild;wild;UMFOLOZI;MONTPELLI;24.06.2008;39,64931507;euthanasia, musculoskeletal circulatory;UMFOLOZI;01.11.1969;DELFTS;01.09.1970;CHILWORTH;08.10.1970;LONGLEAT;09.11.1970;PONTSCORF;24.01.1994;PT ST PER;26.08.1999;MONTPELLI;28.02.2001;;;;;;;
117;m;01.01.1966;wild;wild;UMFOLOZI;CABARCENO;26.03.1994;28,24931507;Anesth/Restraint, circulatory;UMFOLOZI;01.11.1966;DELFTS;01.09.1970;CHILWORTH;08.10.1970;LONGLEAT;09.11.1970;BEWDLEY;11.11.1987;LONGLEAT;01.10.1988;CHILWORTH;24.04.1993;CABARCENO;26.04.1993;;;;;
118;m;01.01.1965;wild;wild;UMFOLOZI;;31.12.2011;47,02739726;;UMFOLOZI;01.11.1965;DELFTS;01.09.1970;CHILWORTH;08.10.1970;LONGLEAT;09.11.1970;WOBURNLTD;01.01.1977;JOHORE;01.01.1981;;;;;;;;;
119;f;01.01.1960;wild;wild;UMFOLOZI;PONTSCORF;11.02.1995;35,1369863;infection;UMFOLOZI;01.11.1965;DELFTS;01.09.1970;CHILWORTH;08.10.1970;LONGLEAT;09.11.1970;CHILWORTH;23.01.1994;PONTSCORF;24.01.1994;;;;;;;;;
120;f;01.01.1962;wild;wild;UMFOLOZI;CABARCENO;08.02.2005;43,13424658;unk;UMFOLOZI;01.11.1966;DELFTS;01.09.1970;CHILWORTH;08.10.1970;LONGLEAT;09.11.1970;CHILWORTH;20.04.1993;CABARCENO;26.04.1993;;;;;;;;;
121;f;31.12.1968;wild;wild;UMFOLOZI;;04.11.1988;19,85753425;;UMFOLOZI;01.11.1969;DELFTS;01.09.1970;CHILWORTH;08.10.1970;LONGLEAT;09.11.1970;DUBBO;06.05.1980;;;;;;;;;;;
122;m;01.01.1960;wild;wild;UMFOLOZI;;31.12.2011;52,03287671;;UMFOLOZI;01.10.1965;SOEST;10.10.1970;L RUHE;01.10.1970;HANNOVER;13.10.1970;L RUHE;01.06.1971;MYSORE;15.06.1971;;;;;;;;;
123;f;01.01.1958;wild;wild;UMFOLOZI;HANNOVER;11.02.1991;33,13424658;infection;UMFOLOZI;11.01.1964;SOEST;11.10.1970;L RUHE;01.01.1970;HANNOVER;13.10.1970;;;;;;;;;;;;;
124;m;02.01.1971;wild;123;HANNOVER;;31.12.2011;41,02191781;;HANNOVER;02.01.1971;L RUHE;16.12.1971;KALININGR;05.06.1972;;;;;;;;;;;;;;;
125;m;18.01.1969;wild;wild;UMFOLOZI;;04.01.1978;8,967123288;;UMFOLOZI;18.12.1969;SOEST;13.06.1970;ARNHEM;18.06.1970;SOEST;29.05.1974;CHILWORTH;01.08.1974;MARACAIBO;03.01.1978;;;;;;;;;
126;f;01.01.1968;wild;wild;UMFOLOZI;HODENHAGN;27.12.1974;6,991780822;Injury from exhibit mate;UMFOLOZI;01.06.1969;SOEST;13.06.1970;ARNHEM;18.06.1970;CHILWORTH;29.05.1974;SOEST;29.05.1974;HODENHAGN;29.09.1974;;;;;;;;;
127;m;Jul 68;wild;wild;S. AFRICA;AYWAILLE;11.02.2008;39,64109589;unk;S. AFRICA;01.07.1978;TRANS ADM;01.01.1969;PRETORIA;14.01.1969;KOLN;10.10.1969;DVURKRALV;24.08.1990;AYWAILLE;11.06.1996;;;;;;;;;
128;m;Mai 68;wild;wild;UMFOLOZI;;31.12.2011;43,69589041;;UMFOLOZI;01.06.1968;NATAL PB;01.03.1971;L RUHE;02.05.1971;NURNBERG;07.05.1971;GELSNKRKN;03.11.1988;BROOKER J;01.12.1988;;;;;;;;;
129;f;Mai 67;wild;wild;UMFOLOZI;;31.12.2011;44,69863014;;UMFOLOZI;01.05.1967;NATAL PB;01.03.1971;L RUHE;02.05.1971;NURNBERG;07.05.1971;GELSNKRKN;03.11.1988;BROOKER J;01.12.1988;;;;;;;;;
130;m;23.06.1971;wild;106;WHIPSNADE;;31.12.2011;40,55068493;;WHIPSNADE;23.06.1971;ALEXA EGY;09.07.1973;;;;;;;;;;;;;;;;;
131;m;01.01.1963;wild;wild;UMFOLOZI;;05.09.2010;47,70958904;;UMFOLOZI;01.05.1967;NATAL PB;01.03.1971;STUKENBRO;07.05.1971;;;;;;;;;;;;;;;
132;f;01.01.1965;wild;wild;UMFOLOZI;THOIRY;03.02.1986;21,10410959;unk;UMFOLOZI;01.05.1968;NATAL PB;01.03.1971;STUKENBRO;07.05.1971;;;;;;;;;;;;;;;
133;m;01.01.1965;wild;wild;UMFOLOZI;;31.12.2011;47,02739726;;UMFOLOZI;01.05.1967;L RUHE;20.04.1969;MALLORCA;02.05.1969;;;;;;;;;;;;;;;
134;f;01.01.1965;wild;wild;UMFOLOZI;;02.02.1997;32,10958904;;UMFOLOZI;01.05.1967;L RUHE;20.04.1969;MALLORCA;02.05.1969;;;;;;;;;;;;;;;
135;m;Mai 69;wild;wild;UMFOLOZI;;03.02.1986;16,77260274;;UMFOLOZI;01.05.1969;L RUHE;01.05.1971;THOIRY;08.05.1971;;;;;;;;;;;;;;;
136;m;Mai 69;wild;wild;UMFOLOZI;THOIRY;05.01.2004;34,70410959;old age;UMFOLOZI;01.05.1969;L RUHE;02.05.1971;THOIRY;08.05.1971;PARIS ZOO;27.04.2000;THOIRY;28.05.2002;;;;;;;;;;;
137;m;01.01.1968;wild;wild;UMFOLOZI;THOIRY;26.12.1993;26,00273973;unk;UMFOLOZI;01.05.1969;L RUHE;02.05.1971;THOIRY;08.05.1971;;;;;;;;;;;;;;;
138;f;01.01.1968;wild;wild;UMFOLOZI;THOIRY;31.12.2011;44,02739726;;UMFOLOZI;01.01.1969;L RUHE;02.05.1971;THOIRY;08.05.1971;;;;;;;;;;;;;;;
139;m;01.01.1968;wild;wild;UMFOLOZI;EDINBURGH;26.04.2004;36,34246575;euthanasia;UMFOLOZI;01.08.1968;NATAL;25.08.1971;COPENHAGE;31.08.1971;WHIPSNADE;25.08.1972;EDINBURGH;10.05.1976;OWNERSHIP;01.01.2000;;;;;;;;;
140;f;01.01.1965;wild;wild;UMFOLOZI;COPENHAGE;22.04.2006;41,33150685;unk;UMFOLOZI;01.01.1965;SOEST;25.08.1971;COPENHAGE;31.08.1971;;;;;;;;;;;;;;;
141;f;01.01.1965;wild;wild;NATAL;COPENHAGE;04.01.1993;28,02739726;euthanasia;NATAL;01.01.1965;SOEST;25.08.1971;COPENHAGE;31.08.1971;;;;;;;;;;;;;;;
143;m;01.01.1963;wild;wild;UMFOLOZI;;26.02.2008;45,18356164;;UMFOLOZI;01.01.1970;NATAL PB;01.01.1970;SD-WAP;17.02.1971;TORONTO;08.08.1974;;;;;;;;;;;;;
147;f;01.01.1963;wild;wild;UMFOLOZI;;31.12.2011;49,03013699;;UMFOLOZI;01.01.1963;NATAL PB;01.01.1971;SD-WAP;17.02.1971;FOSSILRIM;16.12.1989;AUDUBON;25.10.1999;;;;;;;;;;;
148;f;17.11.1968;wild;wild;UMFOLOZI;;09.04.2007;38,41643836;;UMFOLOZI;01.02.1969;NATAL PB;01.01.1971;SD-WAP;17.02.1971;ANIMALES;17.06.1975;COLUMBUS;21.06.1975;WILDS;12.11.1993;;;;;;;;;
150;f;01.01.1963;wild;wild;UMFOLOZI;;04.04.1996;33,27945205;;UMFOLOZI;01.02.1963;NATAL PB;01.01.1970;SD-WAP;17.02.1971;;;;;;;;;;;;;;;
154;f;01.01.1963;wild;wild;UMFOLOZI;;31.12.2011;49,03013699;;UMFOLOZI;01.01.1963;NATAL PB;01.01.1971;SD-WAP;17.02.1971;;;;;;;;;;;;;;;
155;f;01.01.1963;wild;wild;UMFOLOZI;;14.01.1988;25,05205479;;UMFOLOZI;01.02.1963;NATAL PB;01.01.1971;SD-WAP;17.02.1971;;;;;;;;;;;;;;;
156;f;01.01.1963;wild;wild;UMFOLOZI;;03.08.1996;33,6109589;;UMFOLOZI;01.01.1963;NATAL PB;01.01.1971;SD-WAP;17.02.1971;EL PASO;29.09.1976;SD-WAP;29.09.1983;JOHNSON TX;24.06.1994;LEON;28.06.1994;;;;;;;
157;f;01.01.1963;wild;wild;UMFOLOZI;;18.02.2008;45,16164384;;UMFOLOZI;01.01.1963;NATAL PB;01.01.1971;SD-WAP;17.02.1971;;;;;;;;;;;;;;;
159;f;01.01.1963;wild;wild;UMFOLOZI;;26.04.2003;40,34246575;;UMFOLOZI;01.02.1963;NATAL PB;01.01.1971;SD-WAP;17.02.1971;;;;;;;;;;;;;;;
160;m;01.01.1969;wild;wild;UMFOLOZI;OPOLE;31.12.2011;43,02465753;;UMFOLOZI;01.01.1970;SOEST;31.12.1970;PRAHA;30.08.1971;OPOLE;23.08.2002;;;;;;;;;;;;;
161;f;01.01.1965;wild;wild;UMFOLOZI;WOBURNLTD;31.12.2011;47,02739726;;UMFOLOZI;01.01.1965;SOEST;31.12.1970;PRAHA;30.08.1971;OPOLE;23.08.2002;WOBURNLTD;22.05.2003;;;;;;;;;;;
162;f;01.01.1963;wild;wild;UMFOLOZI;PT ST PER;03.02.2011;48,12328767;unk;UMFOLOZI;01.08.1967;SOEST;01.01.1970;PRAHA;30.08.1971;PT ST PER;16.09.1993;;;;;;;;;;;;;
163;m;01.01.1965;wild;wild;UMFOLOZI;;31.12.2011;47,02739726;;UMFOLOZI;01.01.1969;NATAL PB;01.01.1970;DELFTS;01.05.1970;AALBORG;03.06.1971;SOEST;23.03.1990;ENGLISZAK;30.03.1990;OSTRICH F;30.04.1990;;;;;;;
164;f;01.01.1965;wild;wild;UMFOLOZI;;31.03.1990;25,26027397;;UMFOLOZI;01.01.1965;NATAL PB;01.06.1966;DELFTS;01.05.1970;AALBORG;03.06.1971;SOEST;23.03.1990;BROOKER J;30.03.1990;;;;;;;;;
165;f;01.01.1966;wild;wild;UMFOLOZI;AALBORG;14.10.1997;31,80547945;Infection;UMFOLOZI;01.01.1968;NATAL PB;01.01.1970;DELFTS;01.05.1970;AALBORG;03.06.1971;;;;;;;;;;;;;
166;f;01.01.1968;wild;wild;UMFOLOZI;DORTMUND;27.08.2009;41,68219178;unk;UMFOLOZI;01.01.1968;NATAL PB;01.01.1970;DELFTS;01.05.1970;AALBORG;03.06.1971;DORTMUND;13.01.2005;;;;;;;;;;;
167;m;01.01.1969;wild;wild;UMFOLOZI;;31.12.2011;43,02465753;;UMFOLOZI;01.10.1969;SOEST;01.10.1971;ARNHEM;05.10.1971;GRONAU;04.02.1986;BOGOR;01.03.1986;;;;;;;;;;;
