Parent;Id;Sex;Birth date;Sire;Dam;Birth place;Location;Avg time between calves (years);Age on first calf (years);Offspring Count
Sire;1147;m;1995-07-22;491;494;HODENHAGN;HODENHAGN;0;6,5;1
;1410;f;2002-01-27;1060;1147;BEWDLEY;BEWDLEY;0;;
Sire;796;m;1984-03-23;221;224;HILVARENB;LA PALMYR;0;27,0;1
;2058;f;2011-03-19;796;767;PEAUGRES;LA PALMYR;0;;
Sire;1004;m;1993-09-13;491;494;HODENHAGN;HODENHAGN;0,9;12,6;7
;1590;f;2006-04-01;1004;1220;HODENHAGN;HODENHAGN;0;;
;1592;f;2006-05-22;1004;1280;HODENHAGN;HODENHAGN;0;;
;1628;f;2007-12-17;1004;1220;HODENHAGN;OSNABRUCK;0;;
;1691;f;2008-11-22;1004;1280;HODENHAGN;VESZPREM;0;;
;2021;f;2009-08-30;1004;1220;HODENHAGN;HODENHAGN;0;;
;T109;f;2011-02-21;1004;1697;HODENHAGN;HODENHAGN;0;;
;2022;m;2011-09-27;1004;1220;HODENHAGN;HODENHAGN;0;;
