Parent;Id;Sex;Birth date;Sire;Dam;Birth place;Location;Avg time between calves (years);Age on first calf (years);Offspring Count
;1628;f;2007-12-17;1004;1220;HODENHAGN;OSNABRUCK;0;;
;2021;f;2009-08-30;1004;1220;HODENHAGN;HODENHAGN;0;;
;2022;m;2011-09-27;1004;1220;HODENHAGN;HODENHAGN;0;;
Dam;1340;f;2000-12-15;1011;654;WHIPSNADE;ARNHEM;3,6;5,7;2
;1596;f;2006-09-13;532;1340;ARNHEM;LONGLEAT;0;;
;2005;m;2010-04-06;1025;1340;ARNHEM;ARNHEM;0;;
Dam;1207;f;1996-04-01;1253;1257;SABLE RAN;ERFURT;2,6;5,7;4
;1393;m;2001-12-06;627;1207;ERFURT;SCHWERIN;0;;
;1489;m;2004-09-26;627;1207;ERFURT;PELISSANE;0;;
;1617;f;2008-01-06;627;1207;ERFURT;GIVSKUD;0;;
;1996;m;2009-10-29;627;1207;ERFURT;KERKRADE;0;;
Dam;1280;f;2000-01-10;491;1043;HODENHAGN;VESZPREM;2,5;6,4;2
;1592;f;2006-05-22;1004;1280;HODENHAGN;HODENHAGN;0;;
;1691;f;2008-11-22;1004;1280;HODENHAGN;VESZPREM;0;;
Dam;856;f;1986-09-12;139;97;EDINBURGH;MARWELL;4,9;12,4;2
;1233;m;1999-02-08;828;856;MARWELL;BORAS;0;;
;1466;m;2003-12-31;828;856;MARWELL;MALTON;0;;
Dam;943;f;1989-07-11;372;351;DVURKRALV;DVURKRALV;0;11,1;1
;1305;f;2000-07-29;373;943;DVURKRALV;DVURKRALV;0;;
Dam;1028;f;1993-09-17;487;641;RAMAT GAN;RAMAT GAN;0;8,8;1
;1437;m;2002-07-07;497;1028;RAMAT GAN;RAMAT GAN;0;;
