Parent;Id;Sex;Birth date;Sire;Dam;Birth place;Location;Avg time between calves (years);Age on first calf (years);Offspring Count;;f;551
;1480;f;01.01.2004;wild;1478;KOLMARDEN;KOLMARDEN;0;;;;;
;2016;f;25.11.2009;1183;1478;KOLMARDEN;KOLMARDEN;0;;;;;
Dam;767;f;25.12.1982;221;225;HILVARENB;LA PALMYR;0;28,2;1;;;
;2058;f;19.03.2011;796;767;PEAUGRES;LA PALMYR;0;;;;;
Sire;796;m;23.03.1984;221;224;HILVARENB;LA PALMYR;0;27;1;;;
;2058;f;19.03.2011;796;767;PEAUGRES;LA PALMYR;0;;;;;
Sire;1013;m;01.01.1986;wild;wild;KRUGER;LISBON;0;24,9;1;;;
;2059;m;07.12.2010;1013;1570;LISBON;LISBON;0;;;;;
Dam;1570;f;01.01.2002;wild;wild;THABA MAN;LISBON;0;8,9;1;;;
;2059;m;07.12.2010;1013;1570;LISBON;LISBON;0;;;;;
Dam;651;f;19.10.1979;139;97;EDINBURGH;LISIEUX Z;4,7;8,1;2;;;
;1351;f;28.11.1987;91;651;PARIS ZOO;PARIS ZOO;0;;;;;
;1025;m;08.08.1992;91;651;PARIS ZOO;ARNHEM;0;;;;;
Sire;1010;m;16.11.1992;89;329;WHIPSNADE;LISIEUX Z;0;18,8;1;;;
;2063;m;30.08.2011;1010;1561;LISIEUX Z;LISIEUX Z;0;;;;;
Dam;1561;f;01.01.2000;wild;wild;S. AFRICA;LISIEUX Z;2,9;8,8;2;;;
;1647;f;08.10.2008;wild;1561;LISIEUX Z;BEWDLEY;0;;;;;
;2063;m;30.08.2011;1010;1561;LISIEUX Z;LISIEUX Z;0;;;;;
Dam;250;f;01.01.1969;wild;wild;UMFOLOZI;MADRID Z;0;40,4;1;;;
;1709;m;29.04.2009;250;1416;MADRID Z;MADRID Z;0;;;;;
Dam;1416;f;01.01.1998;wild;wild;S. AFRICAR;MADRID Z;0,9;10,4;2;;;
;1688;f;01.06.2008;1173;1416;SO LAKES;SO LAKES;0;;;;;
;1709;m;29.04.2009;250;1416;MADRID Z;MADRID Z;0;;;;;
Sire;828;m;23.11.1983;355;352;KNOWSLEY;MARWELL;4,9;15,2;2;;;
;1233;m;08.02.1999;828;856;MARWELL;BORAS;0;;;;;
;1466;m;31.12.2003;828;856;MARWELL;MALTON;0;;;;;
Dam;856;f;12.09.1986;139;97;EDINBURGH;MARWELL;4,9;12,4;2;;;
;1233;m;08.02.1999;828;856;MARWELL;BORAS;0;;;;;
;1466;m;31.12.2003;828;856;MARWELL;MALTON;0;;;;;
Sire;974;m;28.12.1990;89;329;WHIPSNADE;MUNSTER;3,5;9,6;4;;;
;1344;m;11.08.2000;974;967;MUNSTER;MUNSTER;0;;;;;
;1518;m;26.07.2005;974;967;MUNSTER;MUNSTER;0;;;;;
;1695;f;20.09.2009;974;967;MUNSTER;LONGLEAT;0;;;;;
;2066;m;02.04.2011;974;967;MUNSTER;MUNSTER;0;;;;;
Dam;224;f;01.01.1970;wild;wild;UMFOLOZI;PEAUGRES;2,4;8,9;8;;;
;488;f;22.11.1978;221;224;HILVARENB;HILVARENB;0;;;;;
;629;m;13.01.1981;221;224;HILVARENB;HILVARENB;0;;;;;
;796;m;23.03.1984;221;224;HILVARENB;LA PALMYR;0;;;;;
;835;f;26.10.1985;221;224;HILVARENB;HILVARENB;0;;;;;
;906;m;01.12.1987;221;224;HILVARENB;HILVARENB;0;;;;;
;964;f;01.12.1990;221;224;HILVARENB;HILVARENB;0;;;;;
;1009;f;08.10.1992;221;224;HILVARENB;WOBURNLTD;0;;;;;
;1064;m;16.01.1996;221;224;HILVARENB;SO LAKES;0;;;;;
Dam;931;f;30.05.1987;405;406;PRET LICH;POZNAN;4,7;12,5;3;;;
;1277;f;18.11.1999;1029;931;POZNAN;POZNAN;0;;;;;
;1462;f;19.11.2003;1029;931;POZNAN;PEAUGRES;0;;;;;
;1660;f;15.03.2009;1029;931;POZNAN;POZNAN;0;;;;;
Sire;1029;m;10.12.1993;111;114;USTI;POZNAN;4,7;5,9;3;;;
;1277;f;18.11.1999;1029;931;POZNAN;POZNAN;0;;;;;
;1462;f;19.11.2003;1029;931;POZNAN;PEAUGRES;0;;;;;
;1660;f;15.03.2009;1029;931;POZNAN;POZNAN;0;;;;;
Dam;241;f;01.01.1971;wild;wild;UMFOLOZI;RAMAT GAN;1,9;8,6;7;;;
;497;m;26.07.1979;MULT;241;RAMAT GAN;RAMAT GAN;0;;;;;
;640;m;05.04.1981;unk;241;RAMAT GAN;RAMAT GAN;0;;;;;
;766;m;21.11.1982;unk;241;RAMAT GAN;RAMAT GAN;0;;;;;
;799;m;07.08.1984;unk;241;RAMAT GAN;RAMAT GAN;0;;;;;
;913;m;17.10.1987;MULT;241;RAMAT GAN;RAMAT GAN;0;;;;;
;946;m;27.07.1989;unk;241;RAMAT GAN;RAMAT GAN;0;;;;;
;1049;m;26.01.1991;MULT;241;RAMAT GAN;BUDAPEST;0;;;;;
Dam;242;f;01.01.1971;wild;wild;UMFOLOZI;RAMAT GAN;2,1;8,7;6;;;
;399;m;12.09.1979;unk;242;RAMAT GAN;RAMAT GAN;0;;;;;
;641;f;27.02.1981;MULT;242;RAMAT GAN;RAMAT GAN;0;;;;;
;786;m;07.02.1984;unk;242;RAMAT GAN;RAMAT GAN;0;;;;;
;837;m;14.11.1985;unk;242;RAMAT GAN;RAMAT GAN;0;;;;;
;919;f;13.07.1988;unk;242;RAMAT GAN;RAMAT GAN;0;;;;;
;949;f;07.05.1990;MULT;242;RAMAT GAN;RAMAT GAN;0;;;;;
Sire;497;m;26.07.1979;MULT;241;RAMAT GAN;RAMAT GAN;9,2;9,8;3;;;
;945;m;22.05.1989;497;641;RAMAT GAN;JERUSALEM;0;;;;;
;1437;m;07.07.2002;497;1028;RAMAT GAN;RAMAT GAN;0;;;;;
;1630;m;23.09.2007;497;1083;RAMAT GAN;RAMAT GAN;0;;;;;
Dam;641;f;27.02.1981;MULT;242;RAMAT GAN;RAMAT GAN;2,1;4,7;6;;;
;838;m;24.11.1985;unk;641;RAMAT GAN;RAMAT GAN;0;;;;;
;787;f;13.12.1987;unk;641;RAMAT GAN;RAMAT GAN;0;;;;;
;945;m;22.05.1989;497;641;RAMAT GAN;JERUSALEM;0;;;;;
;1050;m;04.02.1992;unk;641;RAMAT GAN;RAMAT GAN;0;;;;;
;1028;f;17.09.1993;487;641;RAMAT GAN;RAMAT GAN;0;;;;;
;1084;f;28.03.1996;487;641;RAMAT GAN;RAMAT GAN;0;;;;;
Dam;1083;f;01.01.1993;wild;wild;UMFOLOZI;RAMAT GAN;1,7;14,7;2;;;
;1630;m;23.09.2007;497;1083;RAMAT GAN;RAMAT GAN;0;;;;;
;2013;m;19.05.2009;mult;1083;RAMAT GAN;RAMAT GAN;0;;;;;
Dam;1999;f;01.06.1999;wild;wild;WEENEN;SALZBURG;0;7,6;1;;;
;2001;f;01.01.2007;wild;1999;wWEENEN;PEAUGRES;0;;;;;
Sire;1173;m;08.04.1997;1011;329;WHIPSNADE;SO LAKES;1,7;11,2;3;;;
;1688;f;01.06.2008;1173;1416;SO LAKES;SO LAKES;0;;;;;
;1689;m;11.09.2008;1173;1460;SO LAKES;SO LAKES;0;;;;;
;T107;m;17.11.2011;1173;1461;SO LAKES;SO LAKES;0;;;;;
Dam;1460;f;01.01.1999;wild;wild;S. AFRICA;SO LAKES;0;9,7;1;;;
;1689;m;11.09.2008;1173;1460;SO LAKES;SO LAKES;0;;;;;
Dam;1461;f;01.01.1999;wild;wild;S. AFRICA;SO LAKES;0;12,9;1;;;
;T107;m;17.11.2011;1173;1461;SO LAKES;SO LAKES;0;;;;;
Dam;291;f;01.01.1970;wild;wild;HLUHLUWE;THOIRY;0;11;1;;;
;715;m;11.01.1981;76;291;ANTWERP;ANTWERP;0;;;;;
Sire;578;m;28.07.1979;116;119;LONGLEAT;THOIRY;1,5;26,1;2;;;
;1519;f;09.08.2005;578;902;BUDAPEST;BUDAPEST;0;;;;;
;1610;f;23.01.2007;578;902;BUDAPEST;BUDAPEST;0;;;;;
Dam;1280;f;10.01.2000;491;1043;HODENHAGN;VESZPREM;2,5;6,4;2;;;
;1592;f;22.05.2006;1004;1280;HODENHAGN;HODENHAGN;0;;;;;
;1691;f;22.11.2008;1004;1280;HODENHAGN;VESZPREM;0;;;;;
Dam;489;f;30.06.1978;70;102;WHIPSNADE;WHIPSNADE;2,8;21,2;4;;;
;1251;f;10.09.1999;1011;489;WHIPSNADE;GIVSKUD;0;;;;;
;1424;m;22.11.2001;1011;489;WHIPSNADE;MONTPELLI;0;;;;;
;1526;m;06.10.2005;1011;489;WHIPSNADE;KERKRADE;0;;;;;
;1632;m;28.12.2007;1011;489;WHIPSNADE;ATTICAZOO;0;;;;;
Dam;654;f;12.10.1981;70;105;WHIPSNADE;WHIPSNADE;3,6;19,2;3;;;
;1340;f;15.12.2000;1011;654;WHIPSNADE;ARNHEM;0;;;;;
;1515;m;09.06.2005;1011;654;WHIPSNADE;MALTON;0;;;;;
;1636;m;07.03.2008;1011;654;WHIPSNADE;ATTICAZOO;0;;;;;
Dam;962;f;24.09.1990;139;97;EDINBURGH;WHIPSNADE;2,8;6,4;4;;;
;1171;f;06.02.1997;1011;962;WHIPSNADE;BORAS;0;;;;;
;1339;f;19.05.2000;1011;962;WHIPSNADE;BORAS;0;;;;;
;1425;f;11.12.2001;1011;962;WHIPSNADE;KESSINGLA;0;;;;;
;1525;m;08.08.2005;1011;962;WHIPSNADE;KERKRADE;0;;;;;
Sire;1011;m;01.01.1988;wild;wild;UMFOLOZI;WHIPSNADE;0,9;9,1;14;;;
;1171;f;06.02.1997;1011;962;WHIPSNADE;BORAS;0;;;;;
;1173;m;08.04.1997;1011;329;WHIPSNADE;SO LAKES;0;;;;;
;1251;f;10.09.1999;1011;489;WHIPSNADE;GIVSKUD;0;;;;;
;1338;f;01.05.2000;1011;329;WHIPSNADE;BORAS;0;;;;;
;1339;f;19.05.2000;1011;962;WHIPSNADE;BORAS;0;;;;;
;1340;f;15.12.2000;1011;654;WHIPSNADE;ARNHEM;0;;;;;
;1424;m;22.11.2001;1011;489;WHIPSNADE;MONTPELLI;0;;;;;
;1425;f;11.12.2001;1011;962;WHIPSNADE;KESSINGLA;0;;;;;
;1469;f;16.04.2003;1011;329;WHIPSNADE;WHIPSNADE;0;;;;;
;1515;m;09.06.2005;1011;654;WHIPSNADE;MALTON;0;;;;;
;1525;m;08.08.2005;1011;962;WHIPSNADE;KERKRADE;0;;;;;
;1526;m;06.10.2005;1011;489;WHIPSNADE;KERKRADE;0;;;;;
;1632;m;28.12.2007;1011;489;WHIPSNADE;ATTICAZOO;0;;;;;
;1636;m;07.03.2008;1011;654;WHIPSNADE;ATTICAZOO;0;;;;;
Dam;1175;f;01.01.1992;wild;wild;HLUHLUWE;WHIPSNADE;4,4;9,3;2;;;
;1349;m;01.05.2001;1060;1175;BEWDLEY;BEWDLEY;0;;;;;
;1583;m;21.09.2005;1060;1175;BEWDLEY;BEWDLEY;0;;;;;
Sire;355;m;01.01.1966;wild;wild;UMFOLOZI;WOBURNLTD;2,6;11,9;4;;;
;476;f;11.11.1977;355;351;DVURKRALV;DVURKRALV;0;;;;;
;712;m;13.11.1977;355;352;KNOWSLEY;KNOWSLEY;0;;;;;
;828;m;23.11.1983;355;352;KNOWSLEY;MARWELL;0;;;;;
;829;m;25.08.1985;355;352;KNOWSLEY;KESSINGLA;0;;;;;
Sire;11;m;01.01.1963;wild;wild;UMFOLOZI;UMFOLOZI;1,9;32,1;2;;;
;1184;m;11.02.1995;11;1012;KOLMARDEN;KOLMARDEN;0;;;;;
;1170;m;15.01.1997;11;1012;KOLMARDEN;KOLMARDEN;0;;;;;
Sire;40;m;01.01.1961;wild;wild;S. AFRICA;S. AFRICA;0;20,2;1;;;
;627;m;03.03.1981;40;397;MEMPHIS;ERFURT;0;;;;;
Sire;52;m;01.01.1959;wild;wild;UMFOLOZI;UMFOLOZI;1,1;14,1;10;;;
;218;m;03.02.1973;52;157;SD-WAP;SD-WAP;0;;;;;
;289;f;04.12.1974;52;UNK;SD-WAP;SD-WAP;0;;;;;
;286;m;19.01.1976;52;147;SD-WAP;SD-WAP;0;;;;;
;287;m;12.03.1976;52;155;SD-WAP;SD-WAP;0;;;;;
;333;f;25.03.1976;52;150;SD-WAP;SD-WAP;0;;;;;
;534;m;02.09.1977;52;159;SD-WAP;VESZPREM;0;;;;;
;648;f;11.11.1980;52;157;SD-WAP;SD-WAP;0;;;;;
;649;f;12.11.1980;52;150;SD-WAP;PEAUGRES;0;;;;;
;701;m;16.11.1981;52;277;SD-WAP;SD-WAP;0;;;;;
;773;f;24.10.1982;52;159;SD-WAP;SALZBURG;0;;;;;
Sire;57;m;01.01.1958;wild;wild;UMFOLOZI;UMFOLOZI;0,6;11,8;2;;;
;76;m;23.10.1969;57;59;PRETORIA;PRETORIA;0;;;;;
;79;m;27.05.1970;57;60;PRETORIA;PRETORIA;0;;;;;
Dam;59;f;01.01.1962;wild;wild;UMFOLOZI;UMFOLOZI;0;7,8;1;;;
;76;m;23.10.1969;57;59;PRETORIA;PRETORIA;0;;;;;
Dam;60;f;01.01.1958;wild;wild;UMFOLOZI;UMFOLOZI;0;12,4;1;;;
;79;m;27.05.1970;57;60;PRETORIA;PRETORIA;0;;;;;
Sire;70;m;01.01.1964;wild;wild;UMFOLOZI;UMFOLOZI;0,5;9,1;24;;;
;214;m;21.01.1973;70;103;WHIPSNADE;WHIPSNADE;0;;;;;
;217;m;05.03.1973;70;104;WHIPSNADE;WHIPSNADE;0;;;;;
;1187;m;09.09.1974;70;100;WHIPSNADE;WHIPSNADE;0;;;;;
;1188;f;07.10.1974;70;97;WHIPSNADE;WHIPSNADE;0;;;;;
;278;m;09.10.1974;70;99;WHIPSNADE;WHIPSNADE;0;;;;;
;1189;m;08.12.1974;70;106;WHIPSNADE;WHIPSNADE;0;;;;;
;329;f;07.10.1976;70;104;WHIPSNADE;WHIPSNADE;0;;;;;
